1	Citrus Circuits (1678)	3123.2248673515705	2.8273150375649494
2	Roboteers (2481)	3056.678232252578	2.565400328463039
3	CyberKnights (195)	2825.9963087336555	2.2141058768959443
4	The HOT Team (67)	2804.596975708663	2.2977102327934773
5	The Beach Bots (330)	2800.0648379770732	2.4735356015937398
6	OP Robotics (2056)	2787.5089661610677	2.2214336897959996
7	The Cheesy Poofs (254)	2767.97980277273	3.124782539296381
8	Robowranglers (148)	2754.2981586853475	2.5951191009193817
9	Mechanical Mayhem (1519)	2739.530594237671	2.549831988656131
10	THEORY6 (1241)	2734.6064474668815	2.508825212159747
11	Robonauts (118)	2716.5398929346725	2.760242174565228
12	B.E.R.T. (133)	2709.9779711959277	2.3239617775778108
13	Orbit (1690)	2705.232800105658	2.6713795461423397
14	Alberta Tech Alliance (ATA) (4334)	2695.620918382966	3.113923101895424
15	BumbleB (3339)	2669.0693896126813	2.812822879228837
16	HIGHROLLERS (987)	2659.8340355207997	2.6122376563946155
17	TechFire (225)	2653.7921322609595	2.1586722494225095
18	Spartan Robotics (971)	2630.94379156177	3.2993607544275942
19	Team Dave (3683)	2577.990322201503	2.6771753683211705
20	Swartdogs (525)	2571.8225313486787	2.8614918615102525
21	Team Titanium (1986)	2548.0149640773648	2.922203201270353
22	Team Tators (2122)	2546.8509237969065	2.685296022527141
23	Walton Robotics (2974)	2545.525248831715	2.621282098847774
24	S.P.A.M. (180)	2523.629194311304	2.646636798161637
25	Cyborg Ferrets (3238)	2521.5677781843297	2.442498659810648
26	Children of the Swamp (179)	2505.926028464304	2.4335017138035764
27	Hawaiian Kids (359)	2503.1705932998157	2.714016113639683
28	CyberCavs (4678)	2502.971372632095	2.5773894871716045
29	PWNAGE (2451)	2495.9449832484033	2.8782123067366374
30	Martians (494)	2484.254316894066	2.292685980142165
31	S.W.A.T. (1806)	2477.0465891103127	3.129878918903042
32	ThunderChickens (217)	2465.1174742875187	2.034981441004416
33	Kil-A-Bytes (1024)	2458.3362776037793	2.022267552684218
34	KnightKrawler (2052)	2448.272836458691	2.6679014068106954
35	Black Hawk Robotics (3310)	2447.211207407446	2.947744444810996
36	Breakaway (3937)	2431.0777561422274	3.0354970735687585
37	Code Orange (3476)	2425.603249856764	2.577666630646554
38	The East Ridge Robotic Ominous RaptorS - the ERRORS (3130)	2420.972835428819	2.7259166144249054
39	Bomb Squad (16)	2411.539670356061	3.33470639173198
40	Team THRUST (1501)	2401.3360624710576	2.03457064601951
41	Bionic Black Hawks (2834)	2398.9538009164826	2.3276699753442864
42	Cow Town Robotics (5050)	2391.042339046461	2.1786412278442544
43	Orange Chaos (4564)	2390.5799887435824	2.337988658710404
44	MakeShift Robotics (4039)	2387.0844982295225	2.705902134362026
45	Vae Victis (1418)	2385.068469887698	2.3728056213722812
46	Killer Bees (33)	2379.4519284223416	2.3843181268226923
47	Bedford Express (1023)	2367.644878979271	2.163758437492779
48	OTTO (1746)	2365.176239380053	2.6069010018090313
49	Robo  Lions (1261)	2364.9754105605734	2.1240079509889056
50	NC GEARS (1918)	2360.2854722192747	2.263199526545373
51	Norsemen (3688)	2353.3356512130667	2.3686711578961672
52	Rogue Robotics (2987)	2352.0951591143057	3.795291847569927
53	Skunk Works Robotics (1983)	2351.9429465153407	2.096242329156319
54	Code Red Robotics the Stray Dogs (2771)	2351.328618022884	1.9539907222507524
55	Raider Robotix (25)	2348.5273695907067	2.3752362457976774
56	Greybots (973)	2346.6979234895143	2.9859794739467977
57	R.A.I.D. (Raider Artificial Intelligence DIvision) (4469)	2343.4972683081783	2.351475810839098
58	RAMS ROBOTICS (4001)	2340.3442524609072	3.0680121069781277
59	The Automatons (2823)	2339.2924830475586	3.135836743811955
60	Error Code Xero (1425)	2333.5134056246316	2.2771030446666143
61	The Rocketeers (20)	2332.1301932855495	2.717456672482162
62	F.R.E.D (Fighting Rednecks Engineering and Design) (2883)	2330.102999152982	3.2126225179707646
63	High Voltage (231)	2327.0239944443156	3.1654483370930397
64	Stryke Force (2767)	2326.954140305923	2.3608469805275965
65	Team Kika Mana (368)	2325.434083689998	3.9029359866231483
66	Beach Cities Robotics (294)	2325.148195659633	3.088598819858897
67	NUTRONs (125)	2324.008730794915	1.8704620893015917
68	Jersey Voltage (4587)	2323.7732731966753	3.2405973106253714
69	Gators (5172)	2320.788197474991	3.199362858542677
70	Hybrid Hornets (5150)	2316.3569311100364	2.1918001226237043
71	Nemesis (2590)	2311.9340317291885	2.028523533029472
72	Robo Dynasty (4726)	2309.525708886562	3.3204760624363665
73	Gear It Forward (2338)	2307.0551946058995	2.844048800380264
74	RoboChargers (3005)	2304.1059156125316	2.808170432426796
75	Team RUSH (27)	2301.880515444706	2.0742039830447245
76	The RoboBees (836)	2300.4668377257503	2.2843887114313235
77	HYPE (5254)	2300.0283900925306	3.0276447131623097
78	Tech for Kids (3990)	2290.408344713773	2.7120342052025355
79	Excel (2474)	2289.415169800401	2.2170292970849537
80	Team Appreciate (2468)	2283.827415482425	2.543263510241309
81	Crescent Robotics (610)	2280.4599224226395	2.617182633229321
82	TORC (2137)	2279.313493578424	2.155186604447973
83	Miss Daisy (341)	2278.4669323969183	2.069565167532664
84	Shark Attack (744)	2276.454428217647	3.9097322727648347
85	Bionic Eagles (5279)	2275.3284319993927	2.398586539068272
86	Flaming Chickens (1540)	2272.1201202695074	2.4771904027852565
87	Columbus Space Program (4188)	2266.089679691514	2.2567599772887696
88	Bobcat Robotics (177)	2258.25735708492	2.3222392908543616
89	Strike Zone (5460)	2256.5404834021633	2.04191097702868
